code,system
B0...00,readv2
B0...11,readv2
B08..00,readv2
B083.00,readv2
B08z.00,readv2
B0z..00,readv2
B0z0.00,readv2
B0zy.00,readv2
B0zz.00,readv2
Byu0.00,readv2
B00..00,readv2
B000.00,readv2
B000000,readv2
B000100,readv2
B000z00,readv2
B001.00,readv2
B001000,readv2
B001100,readv2
B001z00,readv2
B002.00,readv2
B002200,readv2
B002300,readv2
B002z00,readv2
B003.00,readv2
B003000,readv2
B003200,readv2
B003300,readv2
B003z00,readv2
B004.00,readv2
B004000,readv2
B004200,readv2
B004300,readv2
B005.00,readv2
B006.00,readv2
B007.00,readv2
B00z000,readv2
B00z100,readv2
B00zz00,readv2
B00..11,readv2
BB5y000,readv2
B002100,readv2
B003100,readv2
B013100,readv2
B01..00,readv2
B010.00,readv2
B010z00,readv2
B011100,readv2
B011z00,readv2
B01z.00,readv2
B010.11,readv2
B071.00,readv2
B071z00,readv2
B073200,readv2
B010000,readv2
B011.00,readv2
B012.00,readv2
B066.00,readv2
B072.00,readv2
B072z00,readv2
B013.00,readv2
B013000,readv2
B013z00,readv2
B014.00,readv2
B05..00,readv2
B055.00,readv2
B05y.00,readv2
B06y.00,readv2
B06yz00,readv2
B07y.00,readv2
B015.00,readv2
B055000,readv2
B016.00,readv2
B060.00,readv2
B060100,readv2
B060200,readv2
B060z00,readv2
B017.00,readv2
B042.00,readv2
B074.00,readv2
B02..00,readv2
B02y.00,readv2
B02z.00,readv2
B020.00,readv2
B021.00,readv2
B022.00,readv2
B03..00,readv2
B03z.00,readv2
B054.00,readv2
B056.00,readv2
B062100,readv2
B062200,readv2
B062300,readv2
B063.00,readv2
B071000,readv2
B081.00,readv2
B0z1.00,readv2
B030.00,readv2
B031.00,readv2
B04..00,readv2
B04y.00,readv2
B04z.00,readv2
B040.00,readv2
B041.00,readv2
B050.00,readv2
B050.11,readv2
B051.00,readv2
B055100,readv2
B05z.00,readv2
B051000,readv2
B051100,readv2
B052.00,readv2
B053.00,readv2
B055z00,readv2
B073100,readv2
B06..00,readv2
B067.00,readv2
B06z.00,readv2
B060000,readv2
B061.00,readv2
B062z00,readv2
B062.00,readv2
B062000,readv2
B064.00,readv2
B064000,readv2
B064100,readv2
B064z00,readv2
B065.00,readv2
B080.00,readv2
B07..00,readv2
B070.00,readv2
B07z.00,readv2
B0z2.00,readv2
B071100,readv2
B072000,readv2
B082.00,readv2
B08y.00,readv2
B073.00,readv2
B073z00,readv2
ZV10019,readv2
ZV10y16,readv2
45803.0,med
99931.0,med
C00,icd10
C03,icd10
C05,icd10
C09,icd10
C10,icd10
C11,icd10
C12,icd10
C13,icd10
C01,icd10
C02,icd10
C04,icd10
C06,icd10
C07,icd10
C08,icd10